Player;Club;Club (country);Country;Plays in home country?;MATCHES;FOUND;Number of home runners;Goals(25/6);Continent; Asia, Africa, North America, South America, Antarctica, Europe, and Australia
Islam SLIMANI;Sporting CP;Portugal;Algeria;FAUX;Islam SLIMANI;VRAI;0;1;Africa;
El Arabi SOUDANI;GNK Dinamo Zagreb;Croatia;Algeria;FAUX;Eduardo VARGAS;FAUX;0;0;Africa;
Nabil GHILAS;FC Porto;Portugal;Algeria;FAUX;Moussa SISSOKO;FAUX;0;0;Africa;
Saphir TAIDER;FC Internazionale;Italy;Algeria;FAUX;Robin VAN PERSIE;FAUX;0;0;Africa;
Sofiane FEGHOULI;Valencia CF;Spain;Algeria;FAUX;Sofiane FEGHOULI;VRAI;0;1;Africa;
Abdelmoumene DJABOU;Club Africain;Tunisia;Algeria;FAUX;Abdelmoumene DJABOU;VRAI;0;1;Africa;
Hassan YEBDA;Udinese Calcio;Italy;Algeria;FAUX;Haris SEFEROVIC;FAUX;0;0;Africa;
Esseid BELKALEM;Watford FC;England;Algeria;FAUX;Enner VALENCIA;FAUX;0;0;Africa;
Madjid BOUGUERRA;Lekhwiya SC;Qatar;Algeria;FAUX;Luis SUAREZ;FAUX;0;0;Africa;
Carl MEDJANI;Valenciennes FC;France;Algeria;FAUX;Bryan RUIZ;FAUX;0;0;Africa;
Rafik HALLICHE;Academica Coimbra;Portugal;Algeria;FAUX;Rafik HALLICHE;VRAI;0;1;Africa;
Mehdi MOSTEFA;AC Ajaccio;France;Algeria;FAUX;Mats HUMMELS;FAUX;0;0;Africa;
Medhi LACEN;Getafe CF;Spain;Algeria;FAUX;Mats HUMMELS;FAUX;0;0;Africa;
Mohamed ZEMMAMOUCHE;USM Alger;Algeria;Algeria;VRAI;Miroslav KLOSE;FAUX;1;0;Africa;
Cedric SI MOHAMMED;CS Constantine;Algeria;Algeria;VRAI;Carlo COSTLY;FAUX;1;0;Africa;
Djamel MESBAH;AS Livorno;Italy;Algeria;FAUX;Divock ORIGI;FAUX;0;0;Africa;
Rais MBOLHI;CSKA Sofia;Bulgaria;Algeria;FAUX;Rafik HALLICHE;FAUX;0;0;Africa;
Liassine CADAMURO;RCD Mallorca;Spain;Algeria;FAUX;Leroy FER;FAUX;0;0;Africa;
Yacine BRAHIMI;Granada CF;Spain;Algeria;FAUX;Yacine BRAHIMI;VRAI;0;1;Africa;
Faouzi GHOULAM;SSC Napoli;Italy;Algeria;FAUX;Enner VALENCIA;FAUX;0;0;Africa;
Riyad MAHREZ;Leicester City FC;England;Algeria;FAUX;Rafik HALLICHE;FAUX;0;0;Africa;
Aissa MANDI;Stade de Reims;France;Algeria;FAUX;Admir MEHMEDI;FAUX;0;0;Africa;
Nabil BENTALEB;Tottenham Hotspur FC;England;Algeria;FAUX;Moussa SISSOKO;FAUX;0;0;Africa;
Gonzalo HIGUAIN;SSC Napoli;Italy;Argentina;FAUX;GERVINHO;FAUX;0;0;South America;
Lionel MESSI;FC Barcelona;Spain;Argentina;FAUX;Lionel MESSI;VRAI;0;2;South America;
Sergio AGUERO;Manchester City FC;England;Argentina;FAUX;Robin VAN PERSIE;FAUX;0;0;South America;
Maxi RODRIGUEZ;CA Newells Old Boys;Argentina;Argentina;VRAI;Mats HUMMELS;FAUX;1;0;South America;
Angel DI MARIA;Real Madrid CF;Spain;Argentina;FAUX;Andres GUARDADO;FAUX;0;0;South America;
Enzo PEREZ;SL Benfica;Portugal;Argentina;FAUX;Enner VALENCIA;FAUX;0;0;South America;
Augusto FERNANDEZ;Celta Vigo;Spain;Argentina;FAUX;Asamoah GYAN;FAUX;0;0;South America;
