"Source";"Target";"Label";"Type"
"1";"46";"Sporting CP";"Undirected"
"1";"593";"Sporting CP";"Undirected"
"1";"596";"Sporting CP";"Undirected"
"46";"593";"Sporting CP";"Undirected"
"46";"596";"Sporting CP";"Undirected"
"593";"596";"Sporting CP";"Undirected"
"2";"253";"GNK Dinamo Zagreb";"Undirected"
"3";"83";"FC Porto";"Undirected"
"3";"187";"FC Porto";"Undirected"
"3";"206";"FC Porto";"Undirected"
"3";"319";"FC Porto";"Undirected"
"3";"525";"FC Porto";"Undirected"
"3";"528";"FC Porto";"Undirected"
"3";"579";"FC Porto";"Undirected"
"3";"708";"FC Porto";"Undirected"
"83";"187";"FC Porto";"Undirected"
"83";"206";"FC Porto";"Undirected"
"83";"319";"FC Porto";"Undirected"
"83";"525";"FC Porto";"Undirected"
"83";"528";"FC Porto";"Undirected"
"83";"579";"FC Porto";"Undirected"
"83";"708";"FC Porto";"Undirected"
"187";"206";"FC Porto";"Undirected"
"187";"319";"FC Porto";"Undirected"
"187";"525";"FC Porto";"Undirected"
"187";"528";"FC Porto";"Undirected"
"187";"579";"FC Porto";"Undirected"
"187";"708";"FC Porto";"Undirected"
"206";"319";"FC Porto";"Undirected"
"206";"525";"FC Porto";"Undirected"
"206";"528";"FC Porto";"Undirected"
"206";"579";"FC Porto";"Undirected"
"206";"708";"FC Porto";"Undirected"
"319";"525";"FC Porto";"Undirected"
"319";"528";"FC Porto";"Undirected"
"319";"579";"FC Porto";"Undirected"
"319";"708";"FC Porto";"Undirected"
"525";"528";"FC Porto";"Undirected"
"525";"579";"FC Porto";"Undirected"
"525";"708";"FC Porto";"Undirected"
"528";"579";"FC Porto";"Undirected"
"528";"708";"FC Porto";"Undirected"
"579";"708";"FC Porto";"Undirected"
"4";"32";"FC Internazionale";"Undirected"
"4";"36";"FC Internazionale";"Undirected"
"4";"45";"FC Internazionale";"Undirected"
"4";"129";"FC Internazionale";"Undirected"
"4";"194";"FC Internazionale";"Undirected"
"4";"250";"FC Internazionale";"Undirected"
"4";"494";"FC Internazionale";"Undirected"
"32";"36";"FC Internazionale";"Undirected"
"32";"45";"FC Internazionale";"Undirected"
"32";"129";"FC Internazionale";"Undirected"
"32";"194";"FC Internazionale";"Undirected"
"32";"250";"FC Internazionale";"Undirected"
"32";"494";"FC Internazionale";"Undirected"
"36";"45";"FC Internazionale";"Undirected"
"36";"129";"FC Internazionale";"Undirected"
"36";"194";"FC Internazionale";"Undirected"
"36";"250";"FC Internazionale";"Undirected"
"36";"494";"FC Internazionale";"Undirected"
"45";"129";"FC Internazionale";"Undirected"
"45";"194";"FC Internazionale";"Undirected"
"45";"250";"FC Internazionale";"Undirected"
"45";"494";"FC Internazionale";"Undirected"
"129";"194";"FC Internazionale";"Undirected"
"129";"250";"FC Internazionale";"Undirected"
"129";"494";"FC Internazionale";"Undirected"
"194";"250";"FC Internazionale";"Undirected"
"194";"494";"FC Internazionale";"Undirected"
"250";"494";"FC Internazionale";"Undirected"
"5";"163";"Valencia CF";"Undirected"
"5";"583";"Valencia CF";"Undirected"
"5";"589";"Valencia CF";"Undirected"
"5";"676";"Valencia CF";"Undirected"
"163";"583";"Valencia CF";"Undirected"
"163";"589";"Valencia CF";"Undirected"
"163";"676";"Valencia CF";"Undirected"
"583";"589";"Valencia CF";"Undirected"
"583";"676";"Valencia CF";"Undirected"
"589";"676";"Valencia CF";"Undirected"
"7";"354";"Udinese Calcio";"Undirected"
"8";"621";"Watford FC";"Undirected"
"10";"348";"Valenciennes FC";"Undirected"
"12";"522";"AC Ajaccio";"Undirected"
"13";"248";"Getafe CF";"Undirected"
"19";"155";"Granada CF";"Undirected"
"19";"381";"Granada CF";"Undirected"
"155";"381";"Granada CF";"Undirected"
"20";"24";"SSC Napoli";"Undirected"
"20";"33";"SSC Napoli";"Undirected"
"20";"79";"SSC Napoli";"Undirected"
"20";"138";"SSC Napoli";"Undirected"
"20";"197";"SSC Napoli";"Undirected"
"20";"439";"SSC Napoli";"Undirected"
"20";"660";"SSC Napoli";"Undirected"
"20";"661";"SSC Napoli";"Undirected"
"20";"678";"SSC Napoli";"Undirected"
"20";"682";"SSC Napoli";"Undirected"
"20";"683";"SSC Napoli";"Undirected"
"24";"33";"SSC Napoli";"Undirected"
"24";"79";"SSC Napoli";"Undirected"
"24";"138";"SSC Napoli";"Undirected"
"24";"197";"SSC Napoli";"Undirected"
"24";"439";"SSC Napoli";"Undirected"
"24";"660";"SSC Napoli";"Undirected"
"24";"661";"SSC Napoli";"Undirected"
"24";"678";"SSC Napoli";"Undirected"
"24";"682";"SSC Napoli";"Undirected"
"24";"683";"SSC Napoli";"Undirected"
"33";"79";"SSC Napoli";"Undirected"
"33";"138";"SSC Napoli";"Undirected"
"33";"197";"SSC Napoli";"Undirected"
"33";"439";"SSC Napoli";"Undirected"
"33";"660";"SSC Napoli";"Undirected"
"33";"661";"SSC Napoli";"Undirected"
"33";"678";"SSC Napoli";"Undirected"
"33";"682";"SSC Napoli";"Undirected"
"33";"683";"SSC Napoli";"Undirected"
"79";"138";"SSC Napoli";"Undirected"
"79";"197";"SSC Napoli";"Undirected"
"79";"439";"SSC Napoli";"Undirected"
"79";"660";"SSC Napoli";"Undirected"
"79";"661";"SSC Napoli";"Undirected"
"79";"678";"SSC Napoli";"Undirected"
"79";"682";"SSC Napoli";"Undirected"
"79";"683";"SSC Napoli";"Undirected"
"138";"197";"SSC Napoli";"Undirected"
"138";"439";"SSC Napoli";"Undirected"
"138";"660";"SSC Napoli";"Undirected"
"138";"661";"SSC Napoli";"Undirected"
"138";"678";"SSC Napoli";"Undirected"
"138";"682";"SSC Napoli";"Undirected"
"138";"683";"SSC Napoli";"Undirected"
"197";"439";"SSC Napoli";"Undirected"
"197";"660";"SSC Napoli";"Undirected"
"197";"661";"SSC Napoli";"Undirected"
"197";"678";"SSC Napoli";"Undirected"
"197";"682";"SSC Napoli";"Undirected"
"197";"683";"SSC Napoli";"Undirected"
"439";"660";"SSC Napoli";"Undirected"
"439";"661";"SSC Napoli";"Undirected"
"439";"678";"SSC Napoli";"Undirected"
"439";"682";"SSC Napoli";"Undirected"
"439";"683";"SSC Napoli";"Undirected"
"660";"661";"SSC Napoli";"Undirected"
"660";"678";"SSC Napoli";"Undirected"
"660";"682";"SSC Napoli";"Undirected"
"660";"683";"SSC Napoli";"Undirected"
"661";"678";"SSC Napoli";"Undirected"
"661";"682";"SSC Napoli";"Undirected"
"661";"683";"SSC Napoli";"Undirected"
"678";"682";"SSC Napoli";"Undirected"
"678";"683";"SSC Napoli";"Undirected"
"682";"683";"SSC Napoli";"Undirected"
"23";"74";"Tottenham Hotspur FC";"Undirected"
"23";"78";"Tottenham Hotspur FC";"Undirected"
"23";"81";"Tottenham Hotspur FC";"Undirected"
"23";"122";"Tottenham Hotspur FC";"Undirected"
"23";"317";"Tottenham Hotspur FC";"Undirected"
"74";"78";"Tottenham Hotspur FC";"Undirected"
"74";"81";"Tottenham Hotspur FC";"Undirected"
"74";"122";"Tottenham Hotspur FC";"Undirected"
"74";"317";"Tottenham Hotspur FC";"Undirected"
"78";"81";"Tottenham Hotspur FC";"Undirected"
"78";"122";"Tottenham Hotspur FC";"Undirected"
"78";"317";"Tottenham Hotspur FC";"Undirected"
"81";"122";"Tottenham Hotspur FC";"Undirected"
"81";"317";"Tottenham Hotspur FC";"Undirected"
"122";"317";"Tottenham Hotspur FC";"Undirected"
"25";"35";"FC Barcelona";"Undirected"
"25";"116";"FC Barcelona";"Undirected"
"25";"130";"FC Barcelona";"Undirected"
"25";"154";"FC Barcelona";"Undirected"
"25";"164";"FC Barcelona";"Undirected"
"25";"645";"FC Barcelona";"Undirected"
"25";"650";"FC Barcelona";"Undirected"
"25";"652";"FC Barcelona";"Undirected"
"25";"655";"FC Barcelona";"Undirected"
"25";"656";"FC Barcelona";"Undirected"
"25";"658";"FC Barcelona";"Undirected"
"25";"663";"FC Barcelona";"Undirected"
"35";"116";"FC Barcelona";"Undirected"
"35";"130";"FC Barcelona";"Undirected"
"35";"154";"FC Barcelona";"Undirected"
"35";"164";"FC Barcelona";"Undirected"
"35";"645";"FC Barcelona";"Undirected"
"35";"650";"FC Barcelona";"Undirected"
"35";"652";"FC Barcelona";"Undirected"
"35";"655";"FC Barcelona";"Undirected"
"35";"656";"FC Barcelona";"Undirected"
