"Source";"Target";"Type";"Weight"
"1";"800";"Undirected";"1"
"2";"800";"Undirected";"1"
"3";"800";"Undirected";"1"
"4";"800";"Undirected";"1"
"5";"800";"Undirected";"1"
"6";"800";"Undirected";"1"
"7";"800";"Undirected";"1"
"8";"800";"Undirected";"1"
"9";"800";"Undirected";"1"
"10";"800";"Undirected";"1"
"11";"800";"Undirected";"1"
"12";"800";"Undirected";"1"
"13";"800";"Undirected";"1"
"14";"800";"Undirected";"1"
"15";"800";"Undirected";"1"
"16";"800";"Undirected";"1"
"17";"800";"Undirected";"1"
"18";"800";"Undirected";"1"
"19";"800";"Undirected";"1"
"20";"800";"Undirected";"1"
"21";"800";"Undirected";"1"
"22";"800";"Undirected";"1"
"23";"800";"Undirected";"1"
"20";"801";"Undirected";"2"
"24";"801";"Undirected";"2"
"25";"801";"Undirected";"3"
"26";"801";"Undirected";"1"
"27";"801";"Undirected";"1"
"28";"801";"Undirected";"2"
"29";"801";"Undirected";"1"
"30";"801";"Undirected";"1"
"4";"801";"Undirected";"3"
"31";"801";"Undirected";"2"
"32";"801";"Undirected";"1"
"33";"801";"Undirected";"1"
"34";"801";"Undirected";"1"
"35";"801";"Undirected";"1"
"1";"801";"Undirected";"1"
"36";"802";"Undirected";"1"
"37";"802";"Undirected";"1"
"38";"802";"Undirected";"1"
"39";"802";"Undirected";"1"
"40";"802";"Undirected";"2"
"41";"802";"Undirected";"1"
"42";"802";"Undirected";"1"
"43";"802";"Undirected";"1"
"44";"802";"Undirected";"2"
"45";"802";"Undirected";"1"
"46";"802";"Undirected";"1"
"47";"802";"Undirected";"1"
"48";"802";"Undirected";"1"
"49";"802";"Undirected";"1"
"50";"802";"Undirected";"1"
"51";"802";"Undirected";"1"
"52";"802";"Undirected";"1"
"53";"802";"Undirected";"1"
"54";"802";"Undirected";"1"
"55";"802";"Undirected";"1"
"56";"802";"Undirected";"1"
"57";"803";"Undirected";"2"
"58";"803";"Undirected";"1"
"59";"803";"Undirected";"2"
"23";"803";"Undirected";"3"
"60";"803";"Undirected";"1"
"61";"803";"Undirected";"1"
"62";"803";"Undirected";"2"
"20";"803";"Undirected";"1"
"25";"803";"Undirected";"1"
"3";"803";"Undirected";"1"
"63";"803";"Undirected";"1"
"64";"803";"Undirected";"2"
"65";"803";"Undirected";"1"
"66";"803";"Undirected";"1"
"67";"803";"Undirected";"1"
"68";"803";"Undirected";"1"
"69";"803";"Undirected";"1"
"25";"804";"Undirected";"1"
"70";"804";"Undirected";"1"
"71";"804";"Undirected";"1"
"72";"804";"Undirected";"1"
"73";"804";"Undirected";"1"
"74";"804";"Undirected";"1"
"75";"804";"Undirected";"1"
"76";"804";"Undirected";"1"
"77";"804";"Undirected";"1"
"78";"804";"Undirected";"1"
"34";"804";"Undirected";"1"
"79";"804";"Undirected";"1"
"80";"804";"Undirected";"1"
"81";"804";"Undirected";"2"
"82";"804";"Undirected";"1"
"83";"804";"Undirected";"1"
"84";"804";"Undirected";"1"
"85";"804";"Undirected";"1"
"86";"804";"Undirected";"1"
"87";"804";"Undirected";"1"
"88";"804";"Undirected";"1"
"89";"804";"Undirected";"1"
"24";"805";"Undirected";"2"
"90";"805";"Undirected";"1"
"60";"805";"Undirected";"4"
"91";"805";"Undirected";"2"
"62";"805";"Undirected";"1"
"23";"805";"Undirected";"1"
"61";"805";"Undirected";"1"
"25";"805";"Undirected";"1"
"27";"805";"Undirected";"1"
"92";"805";"Undirected";"1"
"73";"805";"Undirected";"1"
"4";"805";"Undirected";"1"
"58";"805";"Undirected";"1"
"30";"805";"Undirected";"2"
"93";"805";"Undirected";"1"
"94";"805";"Undirected";"1"
"20";"805";"Undirected";"1"
"95";"806";"Undirected";"1"
"60";"806";"Undirected";"1"
"96";"806";"Undirected";"1"
"69";"806";"Undirected";"1"
"97";"806";"Undirected";"1"
"98";"806";"Undirected";"1"
"99";"806";"Undirected";"1"
"100";"806";"Undirected";"1"
"101";"806";"Undirected";"1"
"102";"806";"Undirected";"1"
"72";"806";"Undirected";"1"
"103";"806";"Undirected";"1"
"104";"806";"Undirected";"1"
"105";"806";"Undirected";"1"
"106";"806";"Undirected";"1"
"24";"806";"Undirected";"1"
"19";"806";"Undirected";"1"
"107";"806";"Undirected";"1"
"108";"806";"Undirected";"1"
"88";"806";"Undirected";"1"
"109";"806";"Undirected";"2"
"110";"806";"Undirected";"1"
"111";"807";"Undirected";"1"
"5";"807";"Undirected";"1"
"24";"807";"Undirected";"1"
"112";"807";"Undirected";"2"
"113";"807";"Undirected";"1"
"114";"807";"Undirected";"2"
"115";"807";"Undirected";"1"
"116";"807";"Undirected";"1"
"117";"807";"Undirected";"1"
"118";"807";"Undirected";"1"
"29";"807";"Undirected";"1"
"119";"807";"Undirected";"1"
"120";"807";"Undirected";"1"
"121";"807";"Undirected";"2"
"122";"807";"Undirected";"1"
"123";"807";"Undirected";"1"
"124";"807";"Undirected";"1"
"125";"807";"Undirected";"1"
"126";"807";"Undirected";"1"
"127";"807";"Undirected";"1"
"128";"808";"Undirected";"2"
"100";"808";"Undirected";"1"
"3";"808";"Undirected";"2"
"35";"808";"Undirected";"1"
"129";"808";"Undirected";"1"
"113";"808";"Undirected";"1"
"130";"808";"Undirected";"1"
"131";"808";"Undirected";"1"
"132";"808";"Undirected";"1"
"4";"808";"Undirected";"1"
"124";"808";"Undirected";"1"
"128";"808";"Undirected";"1"
"20";"808";"Undirected";"1"
"134";"808";"Undirected";"1"
"135";"808";"Undirected";"1"
"136";"808";"Undirected";"1"
"137";"808";"Undirected";"1"
"138";"808";"Undirected";"1"
"139";"808";"Undirected";"1"
"140";"808";"Undirected";"1"
"141";"808";"Undirected";"1"
"142";"809";"Undirected";"1"
"143";"809";"Undirected";"1"
"144";"809";"Undirected";"1"
"140";"809";"Undirected";"1"
"145";"809";"Undirected";"1"
"146";"809";"Undirected";"1"
"147";"809";"Undirected";"1"
"148";"809";"Undirected";"2"
"149";"809";"Undirected";"3"
"150";"809";"Undirected";"3"
"151";"809";"Undirected";"1"
"152";"809";"Undirected";"2"
"153";"809";"Undirected";"1"
"37";"809";"Undirected";"1"
"95";"809";"Undirected";"1"
"154";"809";"Undirected";"1"
"52";"809";"Undirected";"1"
"92";"810";"Undirected";"2"
"61";"810";"Undirected";"1"
"130";"810";"Undirected";"1"
"58";"810";"Undirected";"2"
"155";"810";"Undirected";"1"
"100";"810";"Undirected";"1"
"27";"810";"Undirected";"1"
"156";"810";"Undirected";"1"
"157";"810";"Undirected";"2"
"158";"810";"Undirected";"1"
"159";"810";"Undirected";"1"
"160";"810";"Undirected";"2"
"35";"810";"Undirected";"1"
"13";"810";"Undirected";"1"
"161";"810";"Undirected";"1"
"4";"810";"Undirected";"1"
"162";"810";"Undirected";"1"
"163";"810";"Undirected";"1"
"2";"810";"Undirected";"1"
"164";"811";"Undirected";"2"
"165";"811";"Undirected";"1"
"166";"811";"Undirected";"2"
"167";"811";"Undirected";"1"
"141";"811";"Undirected";"1"
"59";"811";"Undirected";"1"
"168";"811";"Undirected";"1"
"169";"811";"Undirected";"1"
"170";"811";"Undirected";"1"
"171";"811";"Undirected";"1"
"172";"811";"Undirected";"3"
"173";"811";"Undirected";"1"
"174";"811";"Undirected";"3"
"175";"811";"Undirected";"1"
"176";"811";"Undirected";"1"
"177";"811";"Undirected";"1"
"70";"811";"Undirected";"1"
"156";"812";"Undirected";"3"
"59";"812";"Undirected";"4"
"67";"812";"Undirected";"5"
"60";"812";"Undirected";"2"
"65";"812";"Undirected";"2"
"57";"812";"Undirected";"3"
"25";"812";"Undirected";"2"
"178";"812";"Undirected";"1"
"179";"812";"Undirected";"1"
"125";"813";"Undirected";"1"
"27";"813";"Undirected";"2"
"65";"813";"Undirected";"3"
"180";"813";"Undirected";"3"
"114";"813";"Undirected";"1"
"181";"813";"Undirected";"1"
"107";"813";"Undirected";"1"
"67";"813";"Undirected";"1"
"30";"813";"Undirected";"3"
"182";"813";"Undirected";"1"
"59";"813";"Undirected";"1"
"68";"813";"Undirected";"1"
"183";"813";"Undirected";"1"
"23";"813";"Undirected";"1"
"3";"813";"Undirected";"1"
"34";"814";"Undirected";"1"
"65";"814";"Undirected";"3"
"60";"814";"Undirected";"1"
"61";"814";"Undirected";"7"
"184";"814";"Undirected";"1"
"88";"814";"Undirected";"2"
"27";"814";"Undirected";"1"
"47";"814";"Undirected";"4"
"185";"814";"Undirected";"1"
"186";"814";"Undirected";"1"
"80";"814";"Undirected";"1"
"187";"815";"Undirected";"1"
"188";"815";"Undirected";"1"
"137";"815";"Undirected";"2"
"10";"815";"Undirected";"1"
"189";"815";"Undirected";"1"
"177";"815";"Undirected";"1"
"88";"815";"Undirected";"1"
"190";"815";"Undirected";"1"
"7";"815";"Undirected";"1"
"99";"815";"Undirected";"1"
"107";"815";"Undirected";"1"
"191";"815";"Undirected";"1"
"114";"815";"Undirected";"1"
"192";"815";"Undirected";"1"
"193";"815";"Undirected";"1"
"194";"815";"Undirected";"1"
"195";"815";"Undirected";"1"
"196";"815";"Undirected";"1"
"142";"815";"Undirected";"1"
"197";"815";"Undirected";"1"
"66";"815";"Undirected";"1"
"198";"815";"Undirected";"1"
"103";"816";"Undirected";"1"
"199";"816";"Undirected";"2"
"200";"816";"Undirected";"4"
"161";"816";"Undirected";"1"
"179";"816";"Undirected";"1"
"73";"816";"Undirected";"1"
"201";"816";"Undirected";"2"
"143";"816";"Undirected";"4"
"202";"816";"Undirected";"1"
"154";"816";"Undirected";"1"
"203";"816";"Undirected";"1"
"19";"816";"Undirected";"1"
"47";"816";"Undirected";"1"
"204";"816";"Undirected";"1"
