"Source";"Target";"Label";"Type"
"1";"2";"Algeria";"Undirected"
"1";"3";"Algeria";"Undirected"
"1";"4";"Algeria";"Undirected"
"1";"5";"Algeria";"Undirected"
"1";"6";"Algeria";"Undirected"
"1";"7";"Algeria";"Undirected"
"1";"8";"Algeria";"Undirected"
"1";"9";"Algeria";"Undirected"
"1";"10";"Algeria";"Undirected"
"1";"11";"Algeria";"Undirected"
"1";"12";"Algeria";"Undirected"
"1";"13";"Algeria";"Undirected"
"1";"14";"Algeria";"Undirected"
"1";"15";"Algeria";"Undirected"
"1";"16";"Algeria";"Undirected"
"1";"17";"Algeria";"Undirected"
"1";"18";"Algeria";"Undirected"
"1";"19";"Algeria";"Undirected"
"1";"20";"Algeria";"Undirected"
"1";"21";"Algeria";"Undirected"
"1";"22";"Algeria";"Undirected"
"1";"23";"Algeria";"Undirected"
"2";"3";"Algeria";"Undirected"
"2";"4";"Algeria";"Undirected"
"2";"5";"Algeria";"Undirected"
"2";"6";"Algeria";"Undirected"
"2";"7";"Algeria";"Undirected"
"2";"8";"Algeria";"Undirected"
"2";"9";"Algeria";"Undirected"
"2";"10";"Algeria";"Undirected"
"2";"11";"Algeria";"Undirected"
"2";"12";"Algeria";"Undirected"
"2";"13";"Algeria";"Undirected"
"2";"14";"Algeria";"Undirected"
"2";"15";"Algeria";"Undirected"
"2";"16";"Algeria";"Undirected"
"2";"17";"Algeria";"Undirected"
"2";"18";"Algeria";"Undirected"
"2";"19";"Algeria";"Undirected"
"2";"20";"Algeria";"Undirected"
"2";"21";"Algeria";"Undirected"
"2";"22";"Algeria";"Undirected"
"2";"23";"Algeria";"Undirected"
"3";"4";"Algeria";"Undirected"
"3";"5";"Algeria";"Undirected"
"3";"6";"Algeria";"Undirected"
"3";"7";"Algeria";"Undirected"
"3";"8";"Algeria";"Undirected"
"3";"9";"Algeria";"Undirected"
"3";"10";"Algeria";"Undirected"
"3";"11";"Algeria";"Undirected"
"3";"12";"Algeria";"Undirected"
"3";"13";"Algeria";"Undirected"
"3";"14";"Algeria";"Undirected"
"3";"15";"Algeria";"Undirected"
"3";"16";"Algeria";"Undirected"
"3";"17";"Algeria";"Undirected"
"3";"18";"Algeria";"Undirected"
"3";"19";"Algeria";"Undirected"
"3";"20";"Algeria";"Undirected"
"3";"21";"Algeria";"Undirected"
"3";"22";"Algeria";"Undirected"
"3";"23";"Algeria";"Undirected"
"4";"5";"Algeria";"Undirected"
"4";"6";"Algeria";"Undirected"
"4";"7";"Algeria";"Undirected"
"4";"8";"Algeria";"Undirected"
"4";"9";"Algeria";"Undirected"
"4";"10";"Algeria";"Undirected"
"4";"11";"Algeria";"Undirected"
"4";"12";"Algeria";"Undirected"
"4";"13";"Algeria";"Undirected"
"4";"14";"Algeria";"Undirected"
"4";"15";"Algeria";"Undirected"
"4";"16";"Algeria";"Undirected"
"4";"17";"Algeria";"Undirected"
"4";"18";"Algeria";"Undirected"
"4";"19";"Algeria";"Undirected"
"4";"20";"Algeria";"Undirected"
"4";"21";"Algeria";"Undirected"
"4";"22";"Algeria";"Undirected"
"4";"23";"Algeria";"Undirected"
"5";"6";"Algeria";"Undirected"
"5";"7";"Algeria";"Undirected"
