"Id";"Label";"Club";"Country(club)";"Country";"year"
"1";"Islam SLIMANI";"Sporting CP";"Portugal";"Algeria";"2014"
"2";"El Arabi SOUDANI";"GNK Dinamo Zagreb";"Croatia";"Algeria";"2014"
"3";"Nabil GHILAS";"FC Porto";"Portugal";"Algeria";"2014"
"4";"Saphir TAIDER";"FC Internazionale";"Italy";"Algeria";"2014"
"5";"Sofiane FEGHOULI";"Valencia CF";"Spain";"Algeria";"2014"
"6";"Abdelmoumene DJABOU";"Club Africain";"Tunisia";"Algeria";"2014"
"7";"Hassan YEBDA";"Udinese Calcio";"Italy";"Algeria";"2014"
"8";"Esseid BELKALEM";"Watford FC";"England";"Algeria";"2014"
"9";"Madjid BOUGUERRA";"Lekhwiya SC";"Qatar";"Algeria";"2014"
"10";"Carl MEDJANI";"Valenciennes FC";"France";"Algeria";"2014"
"11";"Rafik HALLICHE";"Academica Coimbra";"Portugal";"Algeria";"2014"
"12";"Mehdi MOSTEFA";"AC Ajaccio";"France";"Algeria";"2014"
"13";"Medhi LACEN";"Getafe CF";"Spain";"Algeria";"2014"
"14";"Mohamed ZEMMAMOUCHE";"USM Alger";"Algeria";"Algeria";"2014"
"15";"Cedric SI MOHAMMED";"CS Constantine";"Algeria";"Algeria";"2014"
"16";"Djamel MESBAH";"AS Livorno";"Italy";"Algeria";"2014"
"17";"Rais MBOLHI";"CSKA Sofia";"Bulgaria";"Algeria";"2014"
"18";"Liassine CADAMURO";"RCD Mallorca";"Spain";"Algeria";"2014"
"19";"Yacine BRAHIMI";"Granada CF";"Spain";"Algeria";"2014"
"20";"Faouzi GHOULAM";"SSC Napoli";"Italy";"Algeria";"2014"
"21";"Riyad MAHREZ";"Leicester City FC";"England";"Algeria";"2014"
"22";"Aissa MANDI";"Stade de Reims";"France";"Algeria";"2014"
"23";"Nabil BENTALEB";"Tottenham Hotspur FC";"England";"Algeria";"2014"
"24";"Gonzalo HIGUAIN";"SSC Napoli";"Italy";"Argentina";"2014"
"25";"Lionel MESSI";"FC Barcelona";"Spain";"Argentina";"2014"
"26";"Sergio AGUERO";"Manchester City FC";"England";"Argentina";"2014"
"27";"Maxi RODRIGUEZ";"CA Newells Old Boys";"Argentina";"Argentina";"2014"
"28";"Angel DI MARIA";"Real Madrid CF";"Spain";"Argentina";"2014"
"29";"Enzo PEREZ";"SL Benfica";"Portugal";"Argentina";"2014"
"30";"Augusto FERNANDEZ";"Celta Vigo";"Spain";"Argentina";"2014"
"31";"Ezequiel LAVEZZI";"Paris Saint-Germain FC";"France";"Argentina";"2014"
"32";"Rodrigo PALACIO";"FC Internazionale";"Italy";"Argentina";"2014"
"33";"Federico FERNANDEZ";"SSC Napoli";"Italy";"Argentina";"2014"
"34";"Martin DEMICHELIS";"Manchester City FC";"England";"Argentina";"2014"
"35";"Javier MASCHERANO";"FC Barcelona";"Spain";"Argentina";"2014"
"36";"Hugo CAMPAGNARO";"FC Internazionale";"Italy";"Argentina";"2014"
"37";"Agustin ORION";"CA Boca Juniors";"Argentina";"Argentina";"2014"
"38";"Mariano ANDUJAR";"Calcio Catania";"Italy";"Argentina";"2014"
"39";"Jose Maria BASANTA";"CF Monterrey";"Mexico";"Argentina";"2014"
"40";"Pablo ZABALETA";"Manchester City FC";"England";"Argentina";"2014"
"41";"Fernando GAGO";"CA Boca Juniors";"Argentina";"Argentina";"2014"
"42";"Lucas BIGLIA";"SS Lazio";"Italy";"Argentina";"2014"
"43";"Sergio ROMERO";"AS Monaco";"France";"Argentina";"2014"
"44";"Ezequiel GARAY";"SL Benfica";"Portugal";"Argentina";"2014"
"45";"Ricardo ALVAREZ";"FC Internazionale";"Italy";"Argentina";"2014"
"46";"Marcos ROJO";"Sporting CP";"Portugal";"Argentina";"2014"
"47";"Adam TAGGART";"Newcastle United Jets FC";"Australia";"Australia";"2014"
"48";"Tim CAHILL";"New York Red Bulls";"USA";"Australia";"2014"
"49";"Mark BRESCIANO";"Al Gharafa SC";"Qatar";"Australia";"2014"
"50";"Mathew LECKIE";"FSV Frankfurt";"Germany";"Australia";"2014"
"51";"James TROISI";"Melbourne Victory FC";"Australia";"Australia";"2014"
"52";"Mile JEDINAK";"Crystal Palace FC";"England";"Australia";"2014"
"53";"Dario VIDOSIC";"FC Sion";"Switzerland";"Australia";"2014"
"54";"Mark MILLIGAN";"Melbourne Victory FC";"Australia";"Australia";"2014"
"55";"Tommy OAR";"FC Utrecht";"Netherlands";"Australia";"2014"
"56";"Matt McKAY";"Brisbane Roar FC";"Australia";"Australia";"2014"
"57";"Eugene GALEKOVIC";"Adelaide United FC";"Australia";"Australia";"2014"
